,Without COOP,,,With COOP,,,Ratio
thinkcycles,IOPS,clat (avg) (us),clag (p99) (us),IOPS,clat (avg) (us),clag (p99) (us),IOPS
0,236753.41,4315.09,116917,271525.66,3765.23,112722,0.871937517802185
1,233704.18,4371.4,117965,269576.01,3792.17,112722,0.866932409898047
2,231944.33,4403.82,117965,264980.58,3857.12,112722,0.875325769156366
4,228763.31,4465.46,117965,264897.16,3858.03,112722,0.8635929128119
8,226774.43,4502.92,117965,253696.75,4027.51,115868,0.893879917657597
16,216084.95,4727.62,120062,248100.84,4115.95,115868,0.870956140253294
32,203451.44,5016.32,120062,229029,4454.97,117965,0.888321740914906
64,174242.07,5837.27,120062,196431.33,5184.39,120062,0.887038080941569
128,143748.88,7058.78,124257,160182.58,6345.69,124257,0.89740644706809
256,110132.07,9212.72,128451,116940.88,8671.99,124257,0.941775622006607
512,71828.91,14075.18,132645,75123.39,13471.26,132645,0.956145749013723
1024,42697.66,23650.68,133694,43967.89,22977.22,133694,0.971110053268419
2048,23621.77,42705.46,144000,24016.58,42015.11,144000,0.983560939983961
4096,12482.49,80760.25,186000,12589.43,80071.62,186000,0.991505572531878
