,With COOP,,,,,,,,,,,,Without COOP,,,,,,,,,,,,With COOP (remote NUMA),,,,,,,,,Without COOP (remote NUMA),,,,,,,,
,local,,,twin thread,,,same NUMA,,,remote NUMA,,,local,,,twin thread,,,same NUMA,,,remote NUMA,,,local,,,twin thread,,,same NUMA,,,local,,,twin thread,,,same NUMA,,
queue depth,IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us),IOPS,lat (avg) (us),lat (p99) (us)
1,120364.45,132.1,192,119212.97,133.53,165,121727.87,130.59,163,100786.51,157.12,253,118068.07,134.61,196,117813.34,135.09,167,121233.79,131.07,165,100370.59,157.64,255,119164.77,133.02,196,116688.95,136.45,169,128804.83,123.46,159,116893.96,135.72,200,116245.15,136.95,169,126110.34,126.23,163
2,157710.47,202.24,322,160829.25,198.14,258,173600.16,183.72,223,127202.97,250.77,383,157139.47,202.95,326,161926.78,196.75,255,174283.85,183,223,127115.88,250.97,383,156550.74,202.48,330,161436.11,197.4,249,178075.59,179.12,219,152718.84,208.08,338,160567.53,198.43,253,179693.57,177.52,217
4,221136.43,288.29,13042,203565.56,313.74,11731,262396,243.57,9110,169433.27,377.08,16450,221972.45,287.21,13042,183966.65,347.29,12911,228291.11,279.85,10421,170009.92,375.82,16450,223048.91,286.41,12911,204021.67,313.05,11731,258194.76,247.5,9241,213592.43,298.78,13566,184047.87,347.1,12911,231193.75,276.21,10290
8,225884.48,556.8,57,206624.64,613.45,5276,266913.49,476.2,51,169101.66,751.2,26346,223737.98,561.81,58,185966.65,682.04,10814,228010.77,556.35,63,172300.07,738.36,23987,221948.31,570.89,63,208506.1,607.97,5932,266023.97,477.82,58,221133.62,572.64,65,184689.94,686.69,11600,222233.84,568.89,2442
16,226929.59,1111.07,55837,203112.49,1249.43,60031,267608.25,950.53,47973,174433.28,1460.6,64226,226007.22,1116.21,55837,186185.55,1363.93,64226,232135.57,1094.29,55837,173593.99,1467.46,64226,221839.61,1143.83,55837,206213.08,1230.78,60031,267973.43,949.02,44303,221804.31,1143.61,55837,185617.21,1368.33,64226,234848.6,1080.4,55837
32,226080.84,2248.15,98042,205528.93,2480.58,104334,268845.9,1898.55,78119,172997.78,2952.97,88605,229353.27,2216.55,95945,185385.79,2750.84,108528,233980.67,2179.18,92799,171753.98,2973.82,91751,225341.07,2263.45,99091,207469.46,2457.33,104334,267844.18,1905.34,79168,219392.98,2323.26,100140,185223.39,2752.76,108528,229085.79,2223.57,93848
64,224229.42,4550.4,119014,204139.7,5006.46,120062,260635.52,3922.8,112722,172441.54,5932.58,120062,224652.14,4541.73,120062,185414.39,5512.64,120062,232852.4,4388.67,119014,173253.56,5904.46,120062,223932.45,4565.08,120062,207140.8,4933.7,120062,268741.72,3804.27,112722,221677.24,4610.3,120062,185405.22,5513.01,120062,237979.95,4293.89,116917
